Model,Accuracy,AUC,F1 Score
Logistic Regression,0.7263681592039801,0.8349765233911922,0.6075433231396534
Random Forest,0.7889125799573561,0.8176693188936226,0.5533834586466165
XGBoost,0.7903340440653873,0.83561973588168,0.5815602836879432
ANN,0.7960199004975125,0.8351991240921255,0.5882352941176471
